"All Inlinks"
"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981"," Lek Iberogast skuteczny i naturalny preparat na wiele dolegliwości gastrycznych","Iberogast® cieszy się zaufaniem","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/iberogast/","75981","","WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/iberogast/","75981","","Więcej o Iberogast®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/zespol-jelita-drazliwego-i-dyspepsja-czynnosciowa/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/zespol-jelita-drazliwego-i-dyspepsja-czynnosciowa/","http://www.iberogast.pl/pl/iberogast/","75981","","WIĘCEJ O IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/zespol-jelita-drazliwego-i-dyspepsja-czynnosciowa/","http://www.iberogast.pl/pl/iberogast/","75981","","WIĘCEJ O IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","http://www.iberogast.pl/pl/iberogast/","75981","","Jak stosować lek Iberogast®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","http://www.iberogast.pl/pl/iberogast/","75981"," Lek Iberogast skuteczny i naturalny preparat na wiele dolegliwości gastrycznych","Iberogast® cieszy się zaufaniem","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","http://www.iberogast.pl/pl/iberogast/","75981","","WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/iberogast/","75981","","Jak stosować lek Iberogast®.","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/iberogast/","75981"," Lek Iberogast skuteczny i naturalny preparat na wiele dolegliwości gastrycznych","Iberogast® cieszy się zaufaniem","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/iberogast/","75981","","WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/historia/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/bole-skurcze-brzucha/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/bole-skurcze-brzucha/","http://www.iberogast.pl/pl/iberogast/","75981","","Jak stosować lek Iberogast®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/bole-skurcze-brzucha/","http://www.iberogast.pl/pl/iberogast/","75981"," Lek Iberogast skuteczny i naturalny preparat na wiele dolegliwości gastrycznych","Iberogast® cieszy się zaufaniem","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/bole-skurcze-brzucha/","http://www.iberogast.pl/pl/iberogast/","75981","","WIĘCEJ O LEKU IBEROGAST®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/faq/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/warunki-ogolne/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/polityka-prywatnosci/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/mapa-strony/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/mapa-strony/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/dla-profesjonalistow/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/imprint/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/ulotka/","http://www.iberogast.pl/pl/iberogast/","75981","","Iberogast","200","OK","true"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","Więcej o dolegliwościach","200","OK","true"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","Więcej o dolegliwościach","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/iberogast/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/iberogast/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","DOWIEDZ SIĘ WIĘCEJ","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/iberogast/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","DOWIEDZ SIĘ WIĘCEJ","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","Do góry","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","BÓLE BRZUCHA I SKURCZE","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","UCZUCIE PEŁNOŚCI I CIĘŻKOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","WZDĘCIA","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","GAZY","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","NUDNOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","BÓLE BRZUCHA I SKURCZE","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","UCZUCIE PEŁNOŚCI I CIĘŻKOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","WZDĘCIA","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","GAZY","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","NUDNOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","Dla osób odczuwajacych nieprzjemne objawy ze strony przewodu pokarmowego","Twoje dolegliwości żołądkowo-jelitowe","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","Więcej o dolegliwościach","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/zespol-jelita-drazliwego-i-dyspepsja-czynnosciowa/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/historia/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/bole-skurcze-brzucha/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/faq/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/warunki-ogolne/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/polityka-prywatnosci/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/mapa-strony/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/mapa-strony/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","Twoje dolegliwości","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/dla-profesjonalistow/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/imprint/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/ulotka/","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","TWOJE DOLEGLIWOŚCI","200","OK","true"
"HTTP Redirect","http://www.iberogast.pl/pl/twoje-dolegliwosci","http://www.iberogast.pl/pl/twoje-dolegliwosci/","266878","","","200","OK","true"
"AHREF","http://www.iberogast.pl/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/iberogast/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/zespol-jelita-drazliwego-i-dyspepsja-czynnosciowa/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/historia/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/bole-skurcze-brzucha/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/faq/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/warunki-ogolne/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/polityka-prywatnosci/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/mapa-strony/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/mapa-strony/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/dla-profesjonalistow/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/imprint/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/pl/ulotka/","https://www.bayer.com.pl/pl/SSL/kontakt.php","0","","Kontakt","301","Moved Permanently","true"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","LECZNICZA MOC NATURY","200","OK","true"
"AHREF","http://www.iberogast.pl/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","ODKRYJ LECZNICZĄ MOC NATURY","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/iberogast/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","LECZNICZA MOC NATURY","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/iberogast/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Skład Iberogast®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","LECZNICZA MOC NATURY","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","Połączenie roślin leczniczych w leku Iberogast","Lecznicza moc natury","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","WIĘCEJ O ZIOŁACH LECZNICZYCH","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Do góry","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","LECZNICZA MOC NATURY","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Ubiorek gorzki","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Korzeń arcydzięgla","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Owoce kminku","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Kwiat rumianku","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Owoce ostropestu plamistego","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Liście melisy lekarskiej","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Glistnik jaskółcze ziele","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Liście mięty pieprzowej","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Korzeń lukrecji","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Ubiorek gorzki (Iberis amara)","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Korzeń arcydzięgla (Angelicae radix)","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Owoce kminku (Carvi fructus)","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Kwiat rumianku (Matricariae flos)","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Owoce ostropestu plamistego (Cardui mariae fructus)","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Liście melisy lekarskiej (Melissae folium)","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Glistnik jaskółcze ziele (Cheliodium herba)","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Liście mięty pieprzowej (Menthae piperitae folium)","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Korzeń lukrecji (Liquiritiae radix)","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/lecznicza-moc-natury/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","POZNAJ WIELOKIERUNKOWE DZIAŁANIE 9 ZIÓŁ","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/zespol-jelita-drazliwego-i-dyspepsja-czynnosciowa/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","LECZNICZA MOC NATURY","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","LECZNICZA MOC NATURY","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","wyciągów roślin leczniczych","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/uczucie-ciezkosci/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Skład leku Iberogast®","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","LECZNICZA MOC NATURY","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","kminek","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","melisa","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","mięta","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","wyciągów roślin leczniczych","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/twoje-dolegliwosci/wzdecia-i-gazy/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","Skład leku Iberogast®.","200","OK","true"
"AHREF","http://www.iberogast.pl/pl/historia/","http://www.iberogast.pl/pl/lecznicza-moc-natury/","390361","","LECZNICZA MOC NATURY","200","OK","true"
